Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
0.4371859296482412,2.000103726818899,0.0030860806664483,5.356015733505669e-07,7.33552238955894e-10,1.0712587029485347e-06,7.61243410166995e-10,100,b_scan
0.4472361809045226,1.988034069599709,0.0030030075973632,5.536755587607798e-07,7.39572695938261e-10,1.100725874321086e-06,7.763857880081394e-10,100,b_scan
0.4572864321608041,1.970380868528328,0.0028872673333461,5.814028606673281e-07,7.493012410126085e-10,1.1455850735665442e-06,7.988333894980889e-10,100,b_scan
0.4673366834170853,1.9589272935869244,0.0028117839817444,6.00214194938146e-07,7.548547364461782e-10,1.175775968462637e-06,8.134303364239242e-10,100,b_scan
0.4773869346733668,1.9420155292998376,0.0027060063783794,6.291533333296946e-07,7.638941237204006e-10,1.2218255436370242e-06,8.35300541147478e-10,100,b_scan
0.4874371859296482,1.9310127761838525,0.0026414394734662,6.487948135321818e-07,7.709496292354016e-10,1.2528310740524633e-06,8.489278964109548e-10,100,b_scan
0.4974874371859297,1.914830181031502,0.0025467494418788,6.789266815008671e-07,7.807124326108232e-10,1.3000293004454225e-06,8.688004873091512e-10,100,b_scan
0.5075376884422111,1.9042544372111203,0.0024842835298878,6.994012035715452e-07,7.85895763128958e-10,1.331837845291913e-06,8.827772537418816e-10,100,b_scan
0.5175879396984926,1.8886778209465096,0.0023995528916921,7.307503883748305e-07,7.955586435939053e-10,1.3801520511715904e-06,9.038823913979839e-10,100,b_scan
0.5276381909547738,1.878487938684441,0.0023444699187497,7.520746162343114e-07,8.014784338788465e-10,1.4127630955868838e-06,9.177134956537683e-10,100,b_scan
0.5376884422110553,1.8635030908360768,0.0022630404474494,7.846448123136466e-07,8.09680612264124e-10,1.4621880329549737e-06,9.36186291007702e-10,100,b_scan
0.5477386934673367,1.8537103384057896,0.0022112225844886,8.067888552277108e-07,8.14632253058083e-10,1.4955528418461796e-06,9.498635913984195e-10,100,b_scan
0.5577889447236182,1.8392839084287769,0.0021391417607481,8.406550049326559e-07,8.229143244156462e-10,1.5462032231127478e-06,9.710346663614095e-10,100,b_scan
0.5678391959798996,1.829823151314611,0.0020958041337302,8.63583907418549e-07,8.299953609643602e-10,1.5802058268971943e-06,9.844604212312231e-10,100,b_scan
0.5778894472361809,1.815896360531834,0.0020318248650706,8.987193683912746e-07,8.39930538715698e-10,1.631981230201184e-06,1.004045107205551e-09,100,b_scan
0.5879396984924623,1.8068191887549312,0.001986672008346,9.224943540935588e-07,8.43881918364938e-10,1.666780500494328e-06,1.0168224725581558e-09,100,b_scan
0.5979899497487438,1.7934415105514925,0.0019250150008379,9.588099827393126e-07,8.514660973205721e-10,1.7195696237758433e-06,1.0367254803234387e-09,100,b_scan
0.6080402010050252,1.7847223646819528,0.0018900224783537,9.83394856220984e-07,8.594250319124222e-10,1.7550867932107835e-06,1.0497078651228491e-09,100,b_scan
0.6180904522613067,1.7718318122638008,0.0018371804583148,1.0208605815447871e-06,8.698935253734106e-10,1.808793254267177e-06,1.0685963935268083e-09,100,b_scan
0.6281407035175879,1.7633723856706176,0.00180762195724,1.046396067863284e-06,8.79627783559081e-10,1.8451859305444329e-06,1.0824889735271087e-09,100,b_scan
0.6381909547738693,1.750981850053507,0.0017566096230045,1.085032302876691e-06,8.877654238421155e-10,1.8998718690588456e-06,1.1029067915350671e-09,100,b_scan
0.6482412060301508,1.742788648620358,0.0017284314787435,1.1114112929681287e-06,8.970820260549225e-10,1.93695498533333e-06,1.116216182451345e-09,100,b_scan
0.6582914572864322,1.7307417008755002,0.0016817374275705,1.1514676713472194e-06,9.067289743499963e-10,1.992893116010638e-06,1.1345291217957851e-09,100,b_scan
0.6683417085427137,1.722906837994193,0.0016540113641727,1.1783804640552656e-06,9.151361124519367e-10,2.030239759279588e-06,1.1457963751392664e-09,100,b_scan
0.6783919597989949,1.7113126648804489,0.0016090703438603,1.2196567933092238e-06,9.234043049217039e-10,2.0872141171975505e-06,1.163753272024821e-09,100,b_scan
0.6884422110552764,1.7037615302276872,0.0015806780276448,1.2475244661447992e-06,9.283659154505911e-10,2.125484193435341e-06,1.177584869246219e-09,100,b_scan
0.6984924623115578,1.6926446583399797,0.0015462531316449,1.2898528201113068e-06,9.422994378785596e-10,2.183262486006162e-06,1.1974270764146101e-09,100,b_scan
0.7085427135678393,1.6853176282097253,0.0015233515459748,1.3186188123451623e-06,9.50507171535343e-10,2.222291529334274e-06,1.211961903270278e-09,100,b_scan
0.7185929648241207,1.674608316804722,0.0014869981192571,1.3620579578185393e-06,9.608087808890962e-10,2.2809135841329814e-06,1.2301801078545934e-09,100,b_scan
0.728643216080402,1.6676287271533703,0.0014660866432707,1.3914280246480744e-06,9.703095833395516e-10,2.3203853456693965e-06,1.2422208603294036e-09,100,b_scan
0.7386934673366834,1.6573037630753786,0.0014376074381579,1.4360836361922932e-06,9.865106758505575e-10,2.3800268143524607e-06,1.2606375340546841e-09,100,b_scan
0.7487437185929648,1.65054933877475,0.0014193163257584,1.46626636401786e-06,9.97520624028421e-10,2.420144977597336e-06,1.2728468118342203e-09,100,b_scan
0.7587939698492463,1.640601246133636,0.0013919055311232,1.5121404433946318e-06,1.0127500929249903e-09,2.480819495762302e-06,1.2920351935847304e-09,100,b_scan
0.7688442211055277,1.6341107008243996,0.0013736143651766,1.5429676091435162e-06,1.0215386889673044e-09,2.52137988112686e-06,1.3059286061462003e-09,100,b_scan
0.778894472361809,1.62458322599546,0.0013461683242158,1.58989215070329e-06,1.0365021356899931e-09,2.582912119174411e-06,1.3210821681094244e-09,100,b_scan
0.7889447236180904,1.6183522659457064,0.0013260303883158,1.621450553288795e-06,1.0445582649511084e-09,2.624078177033841e-06,1.3286206001018767e-09,100,b_scan
